period,risk_grade,eligible_accounts,excluded_immature_accounts,bad_events,observed_bad_rate_matured,mean_pd_matured,calibration_gap_matured,oe_ratio_matured,outcome_window,eligibility_status,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2007-10,A - Low,11,0,1,0.09090909090909091,0.08523193182731728,0.005677159081773631,1.0666083586287325,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-10
2007-10,B - Moderate,19,0,3,0.15789473684210525,0.1399266144805589,0.01796812236154635,1.1284110419468685,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-10
2007-10,C - Watch,20,0,7,0.35,0.18260351988730947,0.1673964801126905,1.9167209931987965,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-10
2007-10,D - High,37,0,15,0.40540540540540543,0.22587007456816077,0.17953533083724466,1.7948610774601144,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-10
2007-10,E - Very High,18,0,8,0.4444444444444444,0.29106666005924464,0.15337778438519978,1.5269507141559282,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-10
2007-11,A - Low,13,0,2,0.15384615384615385,0.0852319318273173,0.06861422201883656,1.8050295299870855,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-11
2007-11,B - Moderate,13,0,4,0.3076923076923077,0.1369879707732916,0.1707043369190161,2.2461264734078252,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-11
2007-11,C - Watch,23,0,8,0.34782608695652173,0.1816672133891422,0.16615887356737952,1.914633248716471,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-11
2007-11,D - High,41,0,13,0.3170731707317073,0.2282006392733017,0.08887253145840562,1.389449090683609,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-11
2007-11,E - Very High,22,0,7,0.3181818181818182,0.29014300621669326,0.02803881196512492,1.0966379039451468,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-11
2007-12,A - Low,20,0,3,0.15,0.08523193182731731,0.06476806817268269,1.759903791737408,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-12
2007-12,B - Moderate,28,0,5,0.17857142857142858,0.13927285371532608,0.0392985748561025,1.2821696677259795,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-12
2007-12,C - Watch,48,0,14,0.2916666666666667,0.18173945926091437,0.10992720740575232,1.6048615300870641,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-12
2007-12,D - High,49,0,18,0.3673469387755102,0.22661288072901936,0.14073405804649086,1.6210329156654548,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-12
2007-12,E - Very High,27,0,7,0.25925925925925924,0.29106666005924464,-0.0318074007999854,0.8907212499242915,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-12
2008-01,A - Low,48,0,7,0.14583333333333334,0.0852319318273173,0.06060140150601605,1.711017575300258,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-01
2008-01,B - Moderate,64,0,15,0.234375,0.13802395747087315,0.09635104252912685,1.698074771182094,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-01
2008-01,C - Watch,50,0,14,0.28,0.1814868876931989,0.09851311230680113,1.5428111835458669,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-01
2008-01,D - High,84,0,29,0.34523809523809523,0.22556185593618278,0.11967623930191246,1.5305694919258508,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-01
2008-01,E - Very High,59,0,19,0.3220338983050847,0.2852116340064611,0.03682226429862362,1.1291050571162515,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-01
2008-02,A - Low,40,0,6,0.15,0.0852319318273173,0.0647680681726827,1.7599037917374083,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-02
2008-02,B - Moderate,69,0,8,0.11594202898550725,0.13796574413241255,-0.022023715146905307,0.8403682357138736,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-02
2008-02,C - Watch,63,0,12,0.19047619047619047,0.18251489828460232,0.007961292191588143,1.0436199579673424,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-02
2008-02,D - High,85,0,25,0.29411764705882354,0.22878144565791508,0.06533620140090846,1.2855834799584327,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-02
2008-02,E - Very High,49,0,10,0.20408163265306123,0.2931401686853804,-0.08905853603231917,0.6961912915868471,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-02
2008-03,A - Low,63,0,11,0.1746031746031746,0.08523193182731724,0.08937124277585735,2.0485652602234397,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-03
2008-03,B - Moderate,68,0,12,0.17647058823529413,0.1405118223266752,0.035958765908618934,1.2559127432353598,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-03
2008-03,C - Watch,90,0,23,0.25555555555555554,0.18216041187377355,0.07339514368178199,1.402914897517033,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-03
2008-03,D - High,123,0,29,0.23577235772357724,0.22938686888704982,0.006385488836527425,1.0278372030077783,12-month matured target,ELIGIBLE,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-03
2008-03,E - Very High,58,0,14,0.2413793103448276,0.30122685232731017,-0.05984754198248257,0.80132069395509,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-03
2008-04,A - Low,34,0,1,0.029411764705882353,0.0852319318273173,-0.05582016712143494,0.34507917485047224,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-04
2008-04,B - Moderate,54,0,11,0.2037037037037037,0.13929285605757954,0.06441084764612415,1.4624131450036362,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-04
2008-04,C - Watch,48,0,13,0.2708333333333333,0.1834011143116742,0.08743221902165912,1.4767267600843237,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-04
2008-04,D - High,80,0,24,0.3,0.22527014255691408,0.07472985744308591,1.3317344082747475,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-04
2008-04,E - Very High,43,0,14,0.32558139534883723,0.2920117942237158,0.03356960112512142,1.1149597440554169,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-04
2008-05,A - Low,15,0,1,0.06666666666666667,0.08523193182731731,-0.018565265160650643,0.7821794629944036,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-05
2008-05,B - Moderate,23,0,8,0.34782608695652173,0.13643165144827463,0.2113944355082471,2.549453028415427,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-05
2008-05,C - Watch,24,0,1,0.041666666666666664,0.18738908643349764,-0.14572241976683098,0.22235375314374947,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-05
2008-05,D - High,37,0,12,0.32432432432432434,0.2310276003631398,0.09329672396118455,1.4038336710182526,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-05
2008-05,E - Very High,16,0,3,0.1875,0.28979663602573646,-0.10229663602573646,0.6470054399918858,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-05
2008-06,A - Low,18,0,1,0.05555555555555555,0.08523193182731731,-0.029676376271761756,0.6518162191620029,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-06
2008-06,B - Moderate,29,0,2,0.06896551724137931,0.1395149510301874,-0.0705494337888081,0.49432348814326693,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-06
2008-06,C - Watch,29,0,7,0.2413793103448276,0.18422621199205133,0.057153098352776266,1.310233260157584,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-06
2008-06,D - High,35,0,7,0.2,0.22661207120109822,-0.02661207120109821,0.8825655179794798,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-06
2008-06,E - Very High,13,0,5,0.38461538461538464,0.28950355355646534,0.0951118310589193,1.3285342438477823,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-06
2008-07,A - Low,21,0,2,0.09523809523809523,0.08523193182731731,0.010006163410777924,1.117399232849148,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-07
2008-07,B - Moderate,19,0,5,0.2631578947368421,0.13833484913912247,0.12482304559771962,1.902325382031435,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-07
2008-07,C - Watch,27,0,7,0.25925925925925924,0.18074246623045845,0.0785167930288008,1.4344125355061093,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-07
2008-07,D - High,51,0,11,0.21568627450980393,0.22952979253797084,-0.013843518028166912,0.9396874894753509,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-07
2008-07,E - Very High,23,0,5,0.21739130434782608,0.29460063997857183,-0.07720933563074575,0.7379186425516194,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-07
2008-08,A - Low,10,0,0,0.0,0.08523193182731728,-0.08523193182731728,0.0,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-08
2008-08,B - Moderate,20,0,4,0.2,0.1379767019372993,0.06202329806270071,1.4495200797804686,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-08
2008-08,C - Watch,24,0,3,0.125,0.18473043835228198,-0.05973043835228198,0.6766616325655239,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-08
2008-08,D - High,35,0,3,0.08571428571428572,0.23415435434396695,-0.14844006862968123,0.3660589014218098,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-08
2008-08,E - Very High,11,0,2,0.18181818181818182,0.29845589079965595,-0.11663770898147413,0.6091961573652793,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-08
2008-09,A - Low,8,0,0,0.0,0.0852319318273173,-0.0852319318273173,0.0,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-09
2008-09,B - Moderate,11,0,2,0.18181818181818182,0.1394201436901018,0.04239803812808002,1.30410267129204,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-09
2008-09,C - Watch,9,0,5,0.5555555555555556,0.1860597623928898,0.3694957931626658,2.9858984468787324,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-09
2008-09,D - High,18,0,1,0.05555555555555555,0.2219569879886224,-0.16640143243306685,0.25029874508120176,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-09
2008-09,E - Very High,11,0,2,0.18181818181818182,0.287372044689039,-0.10555386287085716,0.6326926546210316,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-09
2008-10,A - Low,27,0,3,0.1111111111111111,0.0852319318273173,0.02587917928379381,1.303632438324006,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-10
2008-10,B - Moderate,27,0,6,0.2222222222222222,0.13957288884912855,0.08264933337309366,1.5921589361271553,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-10
2008-10,C - Watch,33,0,7,0.21212121212121213,0.1807424662304585,0.03137874589075362,1.17361025632318,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-10
2008-10,D - High,26,0,4,0.15384615384615385,0.22878347977841684,-0.07493732593226299,0.6724530722024078,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-10
2008-10,E - Very High,9,0,1,0.1111111111111111,0.30461358308333203,-0.19350247197222092,0.3647608553316378,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-10
2008-11,A - Low,44,0,5,0.11363636363636363,0.08523193182731731,0.028404431809046324,1.3332604482859152,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-11
2008-11,B - Moderate,60,0,7,0.11666666666666667,0.13848076096208747,-0.021814094295420805,0.8424756323992691,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-11
2008-11,C - Watch,51,0,11,0.21568627450980393,0.18136803048486222,0.03431824402494171,1.1892188162003892,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-11
2008-11,D - High,36,0,11,0.3055555555555556,0.22765260586129038,0.0779029496942652,1.342201001387754,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-11
2008-11,E - Very High,18,0,5,0.2777777777777778,0.28090646779117917,-0.0031286900134013806,0.9888621645560429,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-11
2008-12,A - Low,52,0,5,0.09615384615384616,0.08523193182731727,0.010921914326528892,1.1281434562419288,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-12
2008-12,B - Moderate,76,0,7,0.09210526315789473,0.13654411313000647,-0.04443884997211174,0.6745458375799724,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-12
2008-12,C - Watch,52,0,10,0.19230769230769232,0.18186727888020363,0.010440413427488693,1.0574067720800167,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-12
2008-12,D - High,58,0,14,0.2413793103448276,0.2284120237104611,0.012967286634366498,1.0567714712374514,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-12
2008-12,E - Very High,15,0,4,0.26666666666666666,0.30325889078092333,-0.036592224114256666,0.8793366815395656,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2008-12
2009-01,A - Low,72,0,9,0.125,0.08523193182731728,0.03976806817268272,1.4665864931145072,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2009-01
2009-01,B - Moderate,68,0,7,0.10294117647058823,0.1393999274190542,-0.03645875094846596,0.7384593261740643,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2009-01
2009-01,C - Watch,59,0,6,0.1016949152542373,0.18380667079863927,-0.08211175554440198,0.5532710799470623,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2009-01
