policy_version,policy_version_name,application_period,policy_decision,accounts,matured_accounts,observed_bad_accounts,observed_bad_rate_matured,outcome_status,exposure,avg_pd,expected_loss,exceptions,overrides,approve_cutoff,manual_upper_cutoff,segment_overlay_enabled,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
baseline_current_25,Baseline Current Policy 25%,2008-07,APPROVE,118,118,25,0.211864406779661,ASSESSABLE,720425.0,0.1780025314379312,49163.95833312348,17,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-07
baseline_current_25,Baseline Current Policy 25%,2008-07,MANUAL_REVIEW,23,23,5,0.21739130434782608,ASSESSABLE,136050.0,0.29460063997857183,18142.915246772074,9,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-07
baseline_current_25,Baseline Current Policy 25%,2008-08,APPROVE,89,89,10,0.11235955056179775,ASSESSABLE,531650.0,0.1824807447136266,40492.1581400298,11,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-08
baseline_current_25,Baseline Current Policy 25%,2008-08,MANUAL_REVIEW,11,11,2,0.18181818181818182,ASSESSABLE,60800.0,0.29845589079965595,8228.417691271186,3,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-08
baseline_current_25,Baseline Current Policy 25%,2008-09,APPROVE,46,46,8,0.17391304347826086,ASSESSABLE,266000.0,0.17141827566393192,18227.505051778477,7,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-09
baseline_current_25,Baseline Current Policy 25%,2008-09,MANUAL_REVIEW,11,11,2,0.18181818181818182,ASSESSABLE,51675.0,0.287372044689039,6885.149486146442,6,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-09
baseline_current_25,Baseline Current Policy 25%,2008-10,APPROVE,113,113,20,0.17699115044247787,ASSESSABLE,914600.0,0.159138070956708,55935.24026437314,4,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-10
baseline_current_25,Baseline Current Policy 25%,2008-10,MANUAL_REVIEW,9,9,1,0.1111111111111111,ASSESSABLE,47950.0,0.30461358308333203,6517.270040547611,1,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-10
baseline_current_25,Baseline Current Policy 25%,2008-11,APPROVE,191,191,34,0.17801047120418848,ASSESSABLE,1919550.0,0.1544728482924693,111817.95319988123,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-11
baseline_current_25,Baseline Current Policy 25%,2008-11,MANUAL_REVIEW,18,18,5,0.2777777777777778,ASSESSABLE,145350.0,0.28090646779117917,18705.272536937908,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-11
baseline_current_25,Baseline Current Policy 25%,2008-12,APPROVE,238,238,36,0.15126050420168066,ASSESSABLE,2448100.0,0.15762356693226187,140234.00121882715,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-12
baseline_current_25,Baseline Current Policy 25%,2008-12,MANUAL_REVIEW,15,15,4,0.26666666666666666,ASSESSABLE,118875.0,0.30325889078092333,15888.911561296281,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-12
baseline_current_25,Baseline Current Policy 25%,2009-01,APPROVE,250,250,34,0.136,ASSESSABLE,2275200.0,0.15207804028501617,130381.05378466101,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-01
baseline_current_25,Baseline Current Policy 25%,2009-01,MANUAL_REVIEW,19,19,7,0.3684210526315789,ASSESSABLE,194925.0,0.2932056479051532,25922.673237651572,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-01
baseline_current_25,Baseline Current Policy 25%,2009-02,APPROVE,280,280,35,0.125,ASSESSABLE,2525825.0,0.15793144679788554,148403.58346037276,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-02
baseline_current_25,Baseline Current Policy 25%,2009-02,MANUAL_REVIEW,22,22,6,0.2727272727272727,ASSESSABLE,189100.0,0.27905916010607634,24280.230919809943,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-02
baseline_current_25,Baseline Current Policy 25%,2009-03,APPROVE,308,308,37,0.12012987012987013,ASSESSABLE,2953450.0,0.15659313704033065,171551.7706265365,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-03
baseline_current_25,Baseline Current Policy 25%,2009-03,MANUAL_REVIEW,16,16,4,0.25,ASSESSABLE,107850.0,0.30122685232731017,14577.514512432504,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-03
baseline_current_25,Baseline Current Policy 25%,2009-04,APPROVE,315,315,45,0.14285714285714285,ASSESSABLE,2925550.0,0.14979478687894834,158034.45645381295,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-04
baseline_current_25,Baseline Current Policy 25%,2009-04,MANUAL_REVIEW,18,18,4,0.2222222222222222,ASSESSABLE,153925.0,0.30122685232731017,20872.482742605374,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-04
baseline_current_25,Baseline Current Policy 25%,2009-05,APPROVE,345,345,49,0.14202898550724638,ASSESSABLE,3338200.0,0.1505583108551284,180163.3587246428,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-05
baseline_current_25,Baseline Current Policy 25%,2009-05,MANUAL_REVIEW,14,14,2,0.14285714285714285,ASSESSABLE,105100.0,0.29251811609753975,13957.403380363143,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-05
baseline_current_25,Baseline Current Policy 25%,2009-06,APPROVE,388,388,54,0.13917525773195877,ASSESSABLE,3454850.0,0.1498590917850274,186658.44561939657,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-06
baseline_current_25,Baseline Current Policy 25%,2009-06,MANUAL_REVIEW,18,18,4,0.2222222222222222,ASSESSABLE,137450.0,0.284293198547201,17862.99333151921,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-06
baseline_current_25,Baseline Current Policy 25%,2009-07,APPROVE,383,383,54,0.1409921671018277,ASSESSABLE,3640900.0,0.1494676124765054,197542.49017568733,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-07
baseline_current_25,Baseline Current Policy 25%,2009-07,MANUAL_REVIEW,28,28,4,0.14285714285714285,ASSESSABLE,235250.0,0.2881637479826545,31079.483502634906,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-07
baseline_current_25,Baseline Current Policy 25%,2009-08,APPROVE,428,428,46,0.10747663551401869,ASSESSABLE,4163700.0,0.14889397254557682,220053.94593524508,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-08
baseline_current_25,Baseline Current Policy 25%,2009-08,MANUAL_REVIEW,18,18,4,0.2222222222222222,ASSESSABLE,154950.0,0.2978401215712883,21165.5881824077,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-08
baseline_current_25,Baseline Current Policy 25%,2009-09,APPROVE,483,483,61,0.12629399585921325,ASSESSABLE,4896625.0,0.1497050924632868,262222.2609301337,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-09
baseline_current_25,Baseline Current Policy 25%,2009-09,MANUAL_REVIEW,24,24,5,0.20833333333333334,ASSESSABLE,210600.0,0.2859865639252119,27712.244899483794,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-09
baseline_current_25,Baseline Current Policy 25%,2009-10,APPROVE,565,565,89,0.15752212389380532,ASSESSABLE,5958750.0,0.15016786199113719,320663.5488324666,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-10
baseline_current_25,Baseline Current Policy 25%,2009-10,MANUAL_REVIEW,39,39,11,0.28205128205128205,ASSESSABLE,330700.0,0.28950355355646534,43316.96580201,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-10
baseline_current_25,Baseline Current Policy 25%,2009-11,APPROVE,625,625,91,0.1456,ASSESSABLE,6514975.0,0.1510495168486572,357569.49171497015,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-11
baseline_current_25,Baseline Current Policy 25%,2009-11,MANUAL_REVIEW,37,37,6,0.16216216216216217,ASSESSABLE,333900.0,0.298755454208051,45923.121055777585,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-11
baseline_current_25,Baseline Current Policy 25%,2009-12,APPROVE,623,623,66,0.10593900481540931,ASSESSABLE,6862325.0,0.1491294845936081,355456.7590335453,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-12
baseline_current_25,Baseline Current Policy 25%,2009-12,MANUAL_REVIEW,35,35,5,0.14285714285714285,ASSESSABLE,264150.0,0.2829385062447922,34019.79441893245,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2009-12
baseline_current_25,Baseline Current Policy 25%,2010-01,APPROVE,631,631,89,0.1410459587955626,ASSESSABLE,7103350.0,0.1489354833511938,380544.499717157,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-01
baseline_current_25,Baseline Current Policy 25%,2010-01,MANUAL_REVIEW,31,31,3,0.0967741935483871,ASSESSABLE,282600.0,0.29237765260996273,38046.41541447753,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-01
baseline_current_25,Baseline Current Policy 25%,2010-02,APPROVE,644,644,68,0.10559006211180125,ASSESSABLE,7077025.0,0.15287038116894797,385459.29315009486,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-02
baseline_current_25,Baseline Current Policy 25%,2010-02,MANUAL_REVIEW,38,38,7,0.18421052631578946,ASSESSABLE,382975.0,0.2916014070207218,50816.65227540316,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-02
baseline_current_25,Baseline Current Policy 25%,2010-03,APPROVE,778,778,81,0.10411311053984576,ASSESSABLE,8111500.0,0.15522757856651773,461926.8657382926,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-03
baseline_current_25,Baseline Current Policy 25%,2010-03,MANUAL_REVIEW,50,50,6,0.12,ASSESSABLE,553250.0,0.2853769523891279,71981.19722917453,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-03
baseline_current_25,Baseline Current Policy 25%,2010-04,APPROVE,868,868,91,0.10483870967741936,ASSESSABLE,9133225.0,0.1541984190965762,501829.8439538799,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-04
baseline_current_25,Baseline Current Policy 25%,2010-04,MANUAL_REVIEW,44,44,10,0.22727272727272727,ASSESSABLE,377350.0,0.29429944850817463,51220.95623548563,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-04
baseline_current_25,Baseline Current Policy 25%,2010-05,APPROVE,934,934,130,0.139186295503212,ASSESSABLE,10129275.0,0.15434145586575995,565148.4325220053,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-05
baseline_current_25,Baseline Current Policy 25%,2010-05,MANUAL_REVIEW,55,55,14,0.2545454545454545,ASSESSABLE,478875.0,0.29291396774434747,63696.25958460265,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-05
baseline_current_25,Baseline Current Policy 25%,2010-06,APPROVE,1034,1034,172,0.16634429400386846,ASSESSABLE,10581100.0,0.1538844879317378,577663.9885506646,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-06
baseline_current_25,Baseline Current Policy 25%,2010-06,MANUAL_REVIEW,71,71,24,0.3380281690140845,ASSESSABLE,588450.0,0.2862012158745371,76460.46416668831,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-06
baseline_current_25,Baseline Current Policy 25%,2010-07,APPROVE,1149,1149,145,0.12619669277632725,ASSESSABLE,11511125.0,0.15291318407552218,630934.1918267648,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-07
baseline_current_25,Baseline Current Policy 25%,2010-07,MANUAL_REVIEW,55,55,14,0.2545454545454545,ASSESSABLE,425375.0,0.29180558313328575,57838.70394718334,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-07
baseline_current_25,Baseline Current Policy 25%,2010-08,APPROVE,1082,1082,153,0.1414048059149723,ASSESSABLE,11301225.0,0.15596185108056884,637850.6259725771,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-08
baseline_current_25,Baseline Current Policy 25%,2010-08,MANUAL_REVIEW,93,93,19,0.20430107526881722,ASSESSABLE,800650.0,0.29041116378388554,106747.14679184732,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-08
baseline_current_25,Baseline Current Policy 25%,2010-09,APPROVE,1120,1120,192,0.17142857142857143,ASSESSABLE,11675725.0,0.15297542547613652,644367.9267484725,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-09
baseline_current_25,Baseline Current Policy 25%,2010-09,MANUAL_REVIEW,69,69,14,0.2028985507246377,ASSESSABLE,576875.0,0.2919501550390764,77724.94123134206,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-09
baseline_current_25,Baseline Current Policy 25%,2010-10,APPROVE,1144,1144,163,0.14248251748251747,ASSESSABLE,12325325.0,0.15275181697302173,671438.2003681138,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-10
baseline_current_25,Baseline Current Policy 25%,2010-10,MANUAL_REVIEW,88,88,26,0.29545454545454547,ASSESSABLE,806800.0,0.2859865639252119,105874.02546823335,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-10
baseline_current_25,Baseline Current Policy 25%,2010-11,APPROVE,1164,1164,154,0.1323024054982818,ASSESSABLE,12894000.0,0.14948893930034285,681778.3649217552,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-11
baseline_current_25,Baseline Current Policy 25%,2010-11,MANUAL_REVIEW,60,60,21,0.35,ASSESSABLE,587475.0,0.28801860237882493,78104.98764042094,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2010-11
